id,name,launch_date,cores,threads,bus_speed,base_frequency,turbo_frequency,cache_size,max_memory_size,max_temp
912,Intel Xeon W-1250TE,5/1/2020,6,12,8,2400,3800,12288,134217728,100
913,Intel Xeon W-1250,5/1/2020,6,12,8,3300,4700,12288,134217728,100
914,Intel Xeon W-1290P,5/1/2020,10,20,8,3700,5300,20480,134217728,100
915,Intel Xeon W-1290,5/1/2020,10,20,8,3200,5200,20480,134217728,100
916,Intel Xeon W-1270,5/1/2020,8,16,8,3400,5000,16384,134217728,100
917,Intel Xeon W-1250P,5/1/2020,6,12,8,4100,4800,12288,134217728,100
918,Intel Xeon W-1290E,5/1/2020,10,20,8,3500,4800,20480,134217728,100
919,Intel Xeon W-1270E,5/1/2020,8,16,8,3400,4800,16384,134217728,100
920,Intel Xeon W-1270TE,5/1/2020,8,16,8,2000,4400,16384,134217728,100
921,Intel Xeon W-1290TE,5/1/2020,10,20,8,1800,4500,20480,134217728,100
922,Intel Xeon W-1270P,5/1/2020,8,16,8,3800,5100,16384,134217728,100
923,Intel Xeon Gold 6330H,8/1/2020,24,48,,2000,3700,33792,1202590843,
924,Intel Xeon Platinum 8356H,8/1/2020,8,16,,3900,4400,36608,1202590843,
925,Intel Xeon Platinum 8360H,8/1/2020,24,48,,3000,4200,33792,1202590843,
926,Intel Xeon Platinum 8360HL,8/1/2020,24,48,,3000,4200,33792,4831838208,
927,Intel Core i7-10870H,8/1/2020,8,16,8,2200,5000,16384,134217728,100
928,Intel Core i7-1160G7,8/1/2020,4,8,2,,4400,12288,33554432,100
929,Intel Celeron G5905T,8/1/2020,2,2,8,3300,,4096,134217728,100
930,Intel Celeron G5925,8/1/2020,2,2,8,3600,,4096,134217728,100
931,Intel Core i5-10200H,8/1/2020,4,8,8,2400,4100,8192,134217728,100
932,Intel Core i5-1135G7,8/1/2020,4,8,4,,4200,8192,67108864,100
933,Intel Core i5-1130G7,8/1/2020,4,8,2,,4000,8192,33554432,100
